=== EXP-PQ-GATE-V2: Cohere 100K, dim=768, k=100, M=48, subspace_dim=16 ===

Part 1: Iso-recall ef sweep (gate × ef)
label	ef	gate	recall	p50ms	p99ms	qps	exp/q	blk/q	mis/q	pq_pass	pq_filt	use/q	wst/q
g1.0-ef120	120	1.00	0.929	5.7	7.2	181.0	121.5	121.5	18.0	0.0	0.0	59.8	61.7
g1.0-ef140	140	1.00	0.940	7.4	10.2	138.2	141.3	141.3	19.7	0.0	0.0	67.6	73.7
g1.0-ef160	160	1.00	0.949	8.3	11.2	125.3	161.0	161.0	21.2	0.0	0.0	75.6	85.4
g1.0-ef180	180	1.00	0.957	9.1	12.1	113.9	181.1	181.1	22.8	0.0	0.0	84.0	97.0
g1.0-ef200	200	1.00	0.963	10.0	13.2	104.9	201.1	201.1	24.3	0.0	0.0	92.3	108.8
g.75-ef120	120	0.75	0.928	6.6	8.8	154.7	121.5	121.5	18.1	1654.8	488.2	60.1	61.5
g.75-ef140	140	0.75	0.939	7.6	10.2	137.8	141.3	141.3	19.8	1883.3	554.0	68.1	73.2
g.75-ef160	160	0.75	0.948	8.5	10.8	124.7	161.1	161.1	21.4	2105.6	617.7	76.2	84.9
g.75-ef180	180	0.75	0.956	9.1	12.1	114.2	181.1	181.1	22.9	2324.4	680.0	84.7	96.4
g.75-ef200	200	0.75	0.963	10.0	13.1	104.4	201.2	201.2	24.5	2541.6	741.5	93.0	108.2
g.50-ef120	120	0.50	0.923	6.4	8.8	160.7	121.5	121.5	18.8	1165.8	1087.4	62.2	59.2
g.50-ef140	140	0.50	0.933	7.3	9.8	143.0	141.3	141.3	20.6	1331.8	1238.7	70.8	70.5
g.50-ef160	160	0.50	0.944	7.9	10.5	130.7	161.1	161.1	22.3	1494.8	1387.0	79.8	81.2
g.50-ef180	180	0.50	0.951	8.7	11.6	119.1	181.1	181.1	23.9	1655.2	1532.4	89.2	91.9
g.50-ef200	200	0.50	0.960	9.8	12.8	108.6	201.3	201.3	25.9	1816.2	1678.2	98.2	103.1

Part 2: Gating × Stopping combo (ef=200)
label	ef	gate	S	D	recall	p50ms	p99ms	qps	exp/q	blk/q	mis/q	use/q	wst/q	early%
S4D16	200	1.00	4	16	0.960	9.3	13.2	112.5	183.8	183.8	23.6	90.8	92.9	52.0
S4D8	200	1.00	4	8	0.950	8.1	13.1	126.8	157.4	157.4	21.7	87.3	70.1	87.0
g.75+S4D16	200	0.75	4	16	0.959	9.3	13.3	112.7	184.9	184.9	23.8	91.6	93.2	50.0
g.75+S4D8	200	0.75	4	8	0.950	8.2	13.4	125.1	159.3	159.3	22.1	88.1	71.2	86.0
g.50+S4D16	200	0.50	4	16	0.958	9.6	13.0	112.3	190.1	190.1	25.4	97.0	93.1	41.0
g.50+S4D8	200	0.50	4	8	0.948	8.0	13.0	127.2	164.8	164.8	23.5	93.3	71.5	83.0
